State,Type,DemSeats,Egap,Psym,Polsby,County,,,,,,
AZ,IRC,21.86,92.32,84.72,51.7,89,,,,,,
CA,IRC,26.64,98.28,0.02,3.52,100,,,,,,
ID,IRC,100,100,100,17.82,100,,,,,,
WA,IRC,14.38,93.68,28.06,95.9,70.74,,,,,,
MT,IRC,41.86,90.16,100,84.3,75.86,,,,,,
CO,IRC,81.7,23.8,72.46,22.02,99.66,,,,,,
MI,IRC,96.9,3.3,32.24,98.08,100,,,,,,
NY,IRC,77.96,30.32,62.7,100,74.3,,,,,,
IRC_avg,IRC,57.66,66.48,60.03,59.17,88.7,,,,,,
NIRC_avg,non-IRC,61.38,59.03,72.13,43.63,91.9,,,,,,
AL,non-IRC,32.7,79.16,100,8.36,100,,,,,,
AR,non-IRC,84.48,100,36.18,77.22,36.54,,,,,,
CT,non-IRC,71.96,44.94,70.64,52.62,99.82,,,,,,
FL,non-IRC,0,100,100,100,37.32,,,,,,
GA,non-IRC,76.02,40.5,69.96,79.4,100,,,,,,
HI,non-IRC,100,100,100,10.42,100,,,,,,
IL,non-IRC,100,0,19.84,0,100,,,,,,
IN,non-IRC,68.3,44.7,100,100,100,,,,,,
IA,non-IRC,0.04,99.96,12.62,40.2,100,,,,,,
KS,non-IRC,0.44,99.64,99.86,34.16,100,,,,,,
KY,non-IRC,98.02,19.74,99.02,49.34,100,,,,,,
LA,non-IRC,99.74,1.2,100,0.1,67.6,,,,,,
ME,non-IRC,22.08,79.92,100,0.72,99.48,,,,,,
MD,non-IRC,97.38,11.1,89.24,31.58,99.16,,,,,,
MA,non-IRC,100,60.04,99.72,0.3,100,,,,,,
MN,non-IRC,51.46,54.02,75.82,93.66,99.24,,,,,,
MS,non-IRC,100,71.5,100,90.56,100,,,,,,
MO,non-IRC,44.28,74.38,93.14,27.96,100,,,,,,
MT,non-IRC,41.86,90.16,100,84.3,75.86,,,,,,
NE,non-IRC,77.82,22.36,98.28,11.72,100,,,,,,
NV,non-IRC,100,19.2,17.46,97.42,100,,,,,,
NH,non-IRC,99.98,42.26,100,0.02,100,,,,,,
NJ,non-IRC,98.58,2.58,92.06,1.86,78.3,,,,,,
NM,non-IRC,100,1.18,94.74,11.06,100,,,,,,
NC,non-IRC,86.96,13.6,15.72,97.26,90.64,,,,,,
OH,non-IRC,1.76,98.32,99.92,58.42,100,,,,,,
OK,non-IRC,3.5,100,15.52,35.66,100,,,,,,
OR,non-IRC,99.36,3.46,33.9,64.96,100,,,,,,
PA,non-IRC,99.98,0.04,0.66,100,97.04,,,,,,
RI,non-IRC,100,99.36,100,29.82,50.86,,,,,,
SC,non-IRC,0.24,99.92,94.82,6.94,100,,,,,,
TN,non-IRC,8.02,100,35.06,0.82,100,,,,,,
TX,non-IRC,0.02,100,100,0,100,,,,,,
UT,non-IRC,10.88,90.06,18.46,59.08,100,,,,,,
VA,non-IRC,20.7,89.66,98.98,96.78,68.38,,,,,,
WV,non-IRC,100,100,100,42.26,100,,,,,,
WI,non-IRC,74.46,31.32,23.94,19.3,100,,,,,,
CO,non-IRC,78.96,30.96,12.56,8.96,80,,,,,,
MI,non-IRC,9.54,94.38,80.54,2.64,71.08,,,,,,
NY,non-IRC,14.7,87.52,45.56,100,100,,,,,,
